,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
537,2017,INDEPENDENT,VICTORY CHRISTIAN COLLEGE,STRATHDALE,39,10,0,57,16,0,68,100,0,59.0,0.0,29.0,5.2
538,2017,INDEPENDENT,VICTORY LUTHERAN COLLEGE,WEST WODONGA,24,9,0,65,63,0,68,97,0,98.0,0.0,31.0,11.0
539,2017,GOVERNMENT,VIEWBANK COLLEGE,ROSANNA,51,18,0,277,40,0,87,99,23,84.0,0.0,32.0,9.8
540,2017,GOVERNMENT,WALLAN SECONDARY COLLEGE,WALLAN,35,21,0,58,79,32,51,84,0,80.0,82.0,25.0,0.7
541,2017,GOVERNMENT,WANGANUI PARK SECONDARY COLLEGE,SHEPPARTON,51,21,0,248,134,82,69,99,2,80.0,80.0,27.0,2.9
542,2017,GOVERNMENT,WANGARATTA HIGH SCHOOL - EDWARDS STREET CAMPUS,WANGARATTA,36,26,0,167,102,62,56,90,1,86.0,52.0,28.0,4.3
543,2017,GOVERNMENT,WANTIRNA COLLEGE,WANTIRNA,55,27,0,223,83,40,83,97,4,87.0,91.0,28.0,4.6
544,2017,GOVERNMENT,WARRACKNABEAL SECONDARY COLLEGE,WARRACKNABEAL,29,16,0,43,36,31,84,100,0,92.0,58.0,27.0,2.9
545,2017,GOVERNMENT,WARRAGUL REGIONAL COLLEGE,WARRAGUL,46,27,0,147,90,65,66,95,0,89.0,96.0,25.0,4.1
546,2017,GOVERNMENT,WARRANDYTE HIGH SCHOOL,WARRANDYTE,34,12,0,136,75,0,63,91,0,95.0,0.0,26.0,4.2
547,2017,GOVERNMENT,WARRNAMBOOL COLLEGE,WARRNAMBOOL,50,25,0,261,92,25,74,95,7,91.0,88.0,29.0,4.8
548,2017,INDEPENDENT,WAVERLEY CHRISTIAN COLLEGE,WANTIRNA SOUTH,52,17,0,260,38,4,93,99,16,82.0,86.0,33.0,11.8
549,2017,GOVERNMENT,WEDDERBURN COLLEGE,WEDDERBURN,24,14,0,30,56,14,71,100,0,63.0,76.0,29.0,4.2
550,2017,GOVERNMENT,WELLINGTON SECONDARY COLLEGE,MULGRAVE,55,25,0,435,53,38,93,100,16,94.0,89.0,30.0,6.1
551,2017,GOVERNMENT,WERRIBEE SECONDARY COLLEGE,WERRIBEE,78,40,1,313,142,81,81,94,14,65.0,92.0,30.0,10.1
553,2017,INDEPENDENT,WESLEY COLLEGE,MELBOURNE,46,9,1,173,38,0,93,100,9,98.0,0.0,33.0,12.1
554,2017,INDEPENDENT,WESLEY COLLEGE GLEN WAVERLEY CAMPUS,GLEN WAVERLEY,32,5,1,117,14,0,97,100,12,100.0,0.0,32.0,7.9
555,2017,GOVERNMENT,WESTALL SECONDARY COLLEGE,CLAYTON SOUTH,28,12,0,97,34,52,84,100,5,85.0,93.0,28.0,5.1
557,2017,GOVERNMENT,WESTERN HEIGHTS SECONDARY COLLEGE,HAMLYN HEIGHTS,47,27,0,153,182,57,39,89,0,56.0,70.0,24.0,1.1
558,2017,GOVERNMENT,WESTERN PORT SECONDARY COLLEGE,HASTINGS,37,21,0,91,74,43,68,96,0,85.0,66.0,25.0,0.5
560,2017,GOVERNMENT,WHEELERS HILL SECONDARY COLLEGE,WHEELERS HILL,36,10,0,102,19,0,81,97,2,80.0,0.0,27.0,4.8
561,2017,CATHOLIC,WHITEFRIARS COLLEGE,DONVALE,50,21,0,289,104,37,92,100,12,93.0,100.0,30.0,5.9
562,2017,GOVERNMENT,WHITTLESEA SECONDARY COLLEGE,WHITTLESEA,35,26,0,137,213,68,71,93,0,74.0,81.0,27.0,2.3
564,2017,GOVERNMENT,WILLIAM RUTHVEN SECONDARY COLLEGE,RESERVOIR,24,12,0,82,30,9,86,84,1,65.0,65.0,25.0,1.1
567,2017,GOVERNMENT,WODONGA SENIOR SECONDARY COLLEGE,WODONGA,68,45,0,417,572,259,49,95,1,95.0,66.0,25.0,1.8
568,2017,GOVERNMENT,WONTHAGGI SECONDARY COLLEGE (MCBRIDE CAMPUS),WONTHAGGI,39,31,0,173,231,64,75,99,3,78.0,81.0,28.0,4.0
569,2017,INDEPENDENT,WOODLEIGH SCHOOL,LANGWARRIN SOUTH,50,26,0,157,40,0,95,100,8,97.0,0.0,33.0,14.8
571,2017,GOVERNMENT,WYNDHAM CENTRAL SECONDARY COLLEGE,WERRIBEE,37,23,0,107,79,30,75,89,0,65.0,94.0,27.0,2.1
575,2017,INDEPENDENT,YARRA VALLEY GRAMMAR SCHOOL,RINGWOOD,42,7,0,300,29,0,91,99,16,95.0,0.0,34.0,20.1
576,2017,GOVERNMENT,YARRAM SECONDARY COLLEGE,YARRAM,29,11,0,69,53,20,51,92,1,78.0,98.0,24.0,0.6
577,2017,GOVERNMENT,YARRAWONGA COLLEGE P-12 - PINNIGER STREET CAMPUS,YARRAWONGA,26,17,0,68,78,29,70,81,0,98.0,75.0,28.0,4.3
578,2017,GOVERNMENT,YEA HIGH SCHOOL,YEA,39,17,0,82,53,34,73,100,0,81.0,100.0,28.0,4.5
579,2017,INDEPENDENT,YESHIVAH COLLEGE,ST KILDA EAST,16,6,0,43,54,10,83,100,0,90.0,100.0,37.0,20.6
580,2017,INDEPENDENT,YESODEI HATORAH COLLEGE - BILLILLA CAMPUS,BRIGHTON,12,5,0,21,32,0,62,100,1,100.0,0.0,34.0,37.9
0,2016,CATHOLIC,ACADEMY OF MARY IMMACULATE,FITZROY,41,11,0,138,28,0,95,100,8,94.0,0.0,30.0,6.2
3,2016,INDEPENDENT,AITKEN COLLEGE,GREENVALE,45,22,0,161,134,24,93,99,1,89.0,100.0,31.0,7.7
4,2016,INDEPENDENT,AL SIRAAT COLLEGE,EPPING,14,1,0,28,24,0,80,100,0,92.0,0.0,28.0,0.0
5,2016,INDEPENDENT,AL-TAQWA COLLEGE,TRUGANINA,28,7,0,192,30,20,96,100,1,99.0,88.0,28.0,2.3
6,2016,GOVERNMENT,ALBERT PARK COLLEGE,ALBERT PARK,51,17,0,230,36,0,78,99,13,77.0,0.0,31.0,9.2
8,2016,GOVERNMENT,ALEXANDRA SECONDARY COLLEGE,ALEXANDRA,18,6,0,59,59,12,71,88,1,86.0,67.0,26.0,2.7
9,2016,INDEPENDENT,ALIA COLLEGE,HAWTHORN EAST,20,2,0,21,0,0,77,89,0,0.0,0.0,27.0,4.5
10,2016,GOVERNMENT,ALKIRA SECONDARY COLLEGE,CRANBOURNE NORTH,66,33,0,235,117,46,69,96,4,73.0,94.0,27.0,1.3
11,2016,INDEPENDENT,ALPHINGTON GRAMMAR SCHOOL,ALPHINGTON,24,1,0,117,0,0,92,100,4,0.0,0.0,31.0,9.8
12,2016,CATHOLIC,ANTONINE COLLEGE,PASCOE VALE SOUTH,24,12,0,79,35,0,96,100,1,100.0,0.0,27.0,4.4
13,2016,GOVERNMENT,APOLLO BAY P-12 COLLEGE,APOLLO BAY,18,3,0,23,16,5,71,93,0,100.0,100.0,32.0,6.3
14,2016,CATHOLIC,AQUINAS COLLEGE,RINGWOOD,52,26,0,325,347,45,85,100,4,99.0,97.0,31.0,6.0
15,2016,GOVERNMENT,ARARAT SECONDARY COLLEGE,ARARAT,24,10,0,50,48,33,81,95,0,61.0,65.0,25.0,0.0
16,2016,GOVERNMENT,ASHWOOD HIGH SCHOOL,ASHWOOD,45,19,0,91,34,25,88,100,2,64.0,67.0,28.0,4.7
17,2016,CATHOLIC,ASSUMPTION COLLEGE,KILMORE,73,53,0,350,346,47,82,100,4,96.0,98.0,29.0,3.4
18,2016,GOVERNMENT,AUBURN HIGH SCHOOL,HAWTHORN EAST,20,4,0,51,4,0,78,89,3,97.0,0.0,27.0,3.0
19,2016,INDEPENDENT,AUSTRALIAN INTERNATIONAL ACADEMY OF EDUCATION,COBURG,16,0,1,35,0,0,100,100,0,0.0,0.0,27.0,0.6
20,2016,CATHOLIC,AVE MARIA COLLEGE,ABERFELDIE,32,10,0,229,141,0,95,100,6,90.0,0.0,31.0,5.4
21,2016,CATHOLIC,AVILA COLLEGE,MOUNT WAVERLEY,46,10,0,265,22,20,96,100,22,100.0,100.0,32.0,10.0
22,2016,GOVERNMENT,BACCHUS MARSH COLLEGE,BACCHUS MARSH,57,34,0,143,148,55,59,96,0,65.0,81.0,26.0,0.8
23,2016,INDEPENDENT,BACCHUS MARSH GRAMMAR,BACCHUS MARSH,41,10,0,227,62,6,95,100,3,98.0,100.0,31.0,8.9
24,2016,GOVERNMENT,BAIMBRIDGE COLLEGE HAMILTON,HAMILTON,33,15,0,80,87,39,75,92,0,89.0,70.0,25.0,2.0
25,2016,GOVERNMENT,BAIRNSDALE SECONDARY COLLEGE,BAIRNSDALE,57,25,0,201,126,82,73,95,0,70.0,79.0,26.0,2.1
26,2016,INDEPENDENT,BALCOMBE GRAMMAR SCHOOL,MOUNT MARTHA,31,10,0,92,11,0,88,100,4,100.0,0.0,31.0,10.2
27,2016,INDEPENDENT,BALLARAT CHRISTIAN COLLEGE,SEBASTOPOL,25,20,0,52,91,11,40,100,0,68.0,100.0,28.0,0.0
28,2016,INDEPENDENT,BALLARAT CLARENDON COLLEGE,BALLARAT,41,14,0,225,45,0,96,100,6,88.0,0.0,37.0,30.0
29,2016,INDEPENDENT,BALLARAT GRAMMAR,WENDOUREE,50,19,0,297,75,5,85,100,11,95.0,26.0,32.0,9.4
30,2016,GOVERNMENT,BALLARAT HIGH SCHOOL,BALLARAT,58,29,0,312,245,63,64,97,3,95.0,85.0,28.0,3.6
31,2016,GOVERNMENT,BALLARAT SECONDARY COLLEGE,BALLARAT,58,38,0,113,122,92,65,88,0,88.0,68.0,27.0,2.2
33,2016,GOVERNMENT,BALWYN HIGH SCHOOL,BALWYN NORTH,46,1,0,602,0,0,92,100,69,0.0,0.0,34.0,22.0
35,2016,GOVERNMENT,BAYSIDE P-12 COLLEGE - PAISLEY CAMPUS,NEWPORT,48,21,0,146,119,56,67,96,0,86.0,88.0,30.0,3.9
36,2016,GOVERNMENT,BAYSWATER SECONDARY COLLEGE,BAYSWATER,21,13,0,41,22,18,56,94,0,75.0,100.0,21.0,1.2
37,2016,INDEPENDENT,BAYVIEW COLLEGE,PORTLAND,32,8,0,62,10,7,78,97,2,81.0,88.0,28.0,1.7
38,2016,INDEPENDENT,BEACONHILLS COLLEGE - BERWICK,BERWICK,40,6,0,215,10,0,83,100,9,98.0,0.0,32.0,6.7
39,2016,INDEPENDENT,BEACONHILLS COLLEGE - PAKENHAM,PAKENHAM,37,1,0,212,0,0,88,100,5,0.0,0.0,31.0,7.6
40,2016,GOVERNMENT,BEAUFORT SECONDARY COLLEGE,BEAUFORT,28,18,0,32,38,23,42,86,0,83.0,79.0,26.0,1.6
41,2016,GOVERNMENT,BEECHWORTH SECONDARY COLLEGE,BEECHWORTH,21,7,0,58,29,12,52,100,0,73.0,66.0,25.0,2.0
42,2016,INDEPENDENT,BELGRAVE HEIGHTS CHRISTIAN SCHOOL,BELGRAVE HEIGHTS,21,3,0,89,35,0,83,98,2,97.0,0.0,30.0,4.1
43,2016,GOVERNMENT,BELLARINE SECONDARY COLLEGE,DRYSDALE,57,38,0,185,502,78,71,97,3,87.0,68.0,26.0,2.2
44,2016,GOVERNMENT,BELMONT HIGH SCHOOL,BELMONT,73,35,0,339,241,51,71,98,9,92.0,81.0,30.0,6.0
45,2016,GOVERNMENT,BENALLA P-12 COLLEGE,BENALLA,39,32,0,101,114,27,68,88,0,78.0,87.0,24.0,0.8
46,2016,GOVERNMENT,BENDIGO SENIOR SECONDARY COLLEGE,BENDIGO,79,40,0,1153,617,285,62,97,6,81.0,81.0,27.0,2.1
48,2016,GOVERNMENT,BENTLEIGH SECONDARY COLLEGE,BENTLEIGH EAST,39,2,0,251,14,0,84,100,3,83.0,0.0,28.0,2.4
50,2016,INDEPENDENT,BERWICK GRAMMAR SCHOOL,OFFICER,25,5,0,61,5,0,100,100,1,98.0,0.0,32.0,8.6
51,2016,GOVERNMENT,BERWICK SECONDARY COLLEGE,BERWICK,59,33,0,368,226,115,82,99,4,100.0,96.0,29.0,3.8
52,2016,INDEPENDENT,BETH RIVKAH LADIES COLLEGE,ST KILDA EAST,29,8,0,86,61,0,89,100,4,97.0,0.0,36.0,28.9
53,2016,INDEPENDENT,BIALIK COLLEGE,HAWTHORN EAST,31,13,0,140,74,0,98,100,6,99.0,0.0,39.0,44.2
54,2016,INDEPENDENT,BILLANOOK COLLEGE,MOOROOLBARK,41,11,0,182,51,0,85,99,5,92.0,0.0,31.0,9.6
55,2016,GOVERNMENT,BIRCHIP P-12 SCHOOL,BIRCHIP,21,10,0,34,25,4,88,100,0,100.0,93.0,31.0,13.4
56,2016,GOVERNMENT,BLACKBURN HIGH SCHOOL,BLACKBURN,46,10,0,211,15,0,80,96,9,68.0,0.0,29.0,6.0
57,2016,GOVERNMENT,BOORT DISTRICT P-12 SCHOOL,BOORT,19,7,0,30,10,6,88,100,0,79.0,68.0,30.0,4.2
58,2016,GOVERNMENT,BORONIA K-12 COLLEGE,BORONIA,23,19,0,39,45,43,50,100,0,79.0,77.0,26.0,0.0
59,2016,GOVERNMENT,BOX HILL HIGH SCHOOL,BOX HILL,55,20,0,350,53,0,93,98,28,94.0,0.0,33.0,19.0
61,2016,GOVERNMENT,BOX HILL SENIOR SECONDARY COLLEGE,MONT ALBERT NORTH,47,21,0,250,192,14,64,98,0,87.0,87.0,25.0,0.5
63,2016,GOVERNMENT,BRAUER COLLEGE,WARRNAMBOOL,39,20,0,176,107,35,67,99,0,87.0,87.0,29.0,3.7
64,2016,GOVERNMENT,BRAYBROOK COLLEGE,BRAYBROOK,40,13,0,237,259,81,99,100,5,85.0,92.0,31.0,7.3
65,2016,GOVERNMENT,BRENTWOOD SECONDARY COLLEGE,GLEN WAVERLEY,55,10,0,408,26,0,99,100,27,58.0,0.0,30.0,7.0
66,2016,GOVERNMENT,BRIGHT P-12 COLLEGE,BRIGHT,29,13,0,40,36,19,85,90,0,87.0,53.0,29.0,2.2
67,2016,INDEPENDENT,BRIGHTON GRAMMAR SCHOOL,BRIGHTON,35,3,0,217,7,0,98,100,29,100.0,0.0,34.0,22.3
68,2016,GOVERNMENT,BRIGHTON SECONDARY COLLEGE,BRIGHTON EAST,47,15,0,316,70,0,78,96,17,86.0,0.0,30.0,6.2
69,2016,GOVERNMENT,BROADFORD SECONDARY COLLEGE,BROADFORD,36,21,0,116,97,30,56,94,0,90.0,93.0,25.0,0.5
70,2016,GOVERNMENT,BRUNSWICK SECONDARY COLLEGE,BRUNSWICK,44,25,0,140,49,53,87,99,3,88.0,80.0,29.0,4.3
71,2016,GOVERNMENT,BUCKLEY PARK COLLEGE,ESSENDON,47,16,0,205,30,28,90,98,11,100.0,83.0,30.0,7.1
72,2016,GOVERNMENT,BUNDOORA SECONDARY COLLEGE,BUNDOORA,38,27,0,93,89,29,87,96,0,68.0,58.0,21.0,0.0
73,2016,INDEPENDENT,CAMBERWELL ANGLICAN GIRLS GRAMMAR SCHOOL,CANTERBURY,32,2,0,181,0,0,100,100,51,0.0,0.0,35.0,17.7
74,2016,INDEPENDENT,CAMBERWELL GRAMMAR SCHOOL,CANTERBURY,40,10,0,310,28,0,97,100,71,94.0,0.0,35.0,24.0
75,2016,GOVERNMENT,CAMBERWELL HIGH SCHOOL,CANTERBURY,60,22,0,316,70,17,94,99,19,95.0,79.0,31.0,7.3
78,2016,GOVERNMENT,CANTERBURY GIRLS SECONDARY COLLEGE,CANTERBURY,50,12,0,294,25,0,96,99,24,93.0,0.0,32.0,15.8
80,2016,CATHOLIC,CAROLINE CHISHOLM CATHOLIC COLLEGE,BRAYBROOK,61,29,0,290,162,56,90,99,5,88.0,90.0,30.0,4.4
81,2016,GOVERNMENT,CARRUM DOWNS SECONDARY COLLEGE,CARRUM DOWNS,40,32,0,182,187,113,77,94,0,86.0,73.0,24.0,0.4
82,2016,GOVERNMENT,CARWATHA COLLEGE P-12,NOBLE PARK NORTH,39,22,0,126,43,32,84,94,4,83.0,89.0,24.0,2.2
83,2016,INDEPENDENT,CASEY GRAMMAR SCHOOL,CRANBOURNE,29,3,0,128,4,0,86,100,2,100.0,0.0,29.0,4.5
84,2016,GOVERNMENT,CASTERTON SECONDARY COLLEGE,CASTERTON,22,14,0,26,18,26,77,89,0,99.0,95.0,29.0,0.0
85,2016,GOVERNMENT,CASTLEMAINE SECONDARY COLLEGE,CASTLEMAINE,40,14,0,170,146,29,74,99,3,62.0,80.0,28.0,5.7
86,2016,INDEPENDENT,CATHEDRAL COLLEGE,WANGARATTA,23,3,0,36,4,0,91,100,1,88.0,0.0,28.0,3.2
87,2016,CATHOLIC,CATHOLIC COLLEGE BENDIGO,BENDIGO,54,18,0,459,195,67,87,99,5,91.0,97.0,29.0,4.7
88,2016,CATHOLIC,CATHOLIC COLLEGE SALE,SALE,45,17,0,232,139,42,84,100,0,94.0,99.0,31.0,12.1
89,2016,CATHOLIC,CATHOLIC COLLEGE WODONGA,WODONGA,36,10,0,238,205,32,61,99,2,96.0,97.0,29.0,4.9
90,2016,CATHOLIC,CATHOLIC LADIES COLLEGE,ELTHAM,51,20,0,189,92,24,96,100,20,99.0,89.0,32.0,10.6
91,2016,CATHOLIC,CATHOLIC REGIONAL COLLEGE MELTON,MELTON WEST,44,23,0,189,108,29,87,98,1,98.0,99.0,28.0,3.4
92,2016,CATHOLIC,CATHOLIC REGIONAL COLLEGE SYDENHAM,SYDENHAM,72,44,0,636,671,157,89,99,4,88.0,85.0,30.0,4.3
94,2016,INDEPENDENT,CAULFIELD GRAMMAR SCHOOL - CAULFIELD CAMPUS,ST KILDA EAST,48,11,0,408,299,0,96,100,30,100.0,0.0,35.0,26.3
97,2016,INDEPENDENT,CHAIRO CHRISTIAN SCHOOL,DROUIN,44,16,0,172,51,0,75,98,0,85.0,0.0,29.0,4.3
101,2016,GOVERNMENT,CHELTENHAM SECONDARY COLLEGE,CHELTENHAM,65,32,0,245,126,20,82,98,5,92.0,94.0,30.0,5.1
104,2016,CATHOLIC,CHRISTIAN BROTHERS' COLLEGE ST KILDA,ST KILDA EAST,39,19,0,106,30,21,84,99,3,96.0,86.0,29.0,2.6
107,2016,CATHOLIC,CLONARD COLLEGE,GEELONG WEST,45,21,0,160,60,27,87,98,6,90.0,92.0,30.0,4.6
108,2016,GOVERNMENT,COBDEN TECHNICAL SCHOOL,COBDEN,27,18,0,60,47,34,63,100,0,95.0,90.0,20.0,0.0
110,2016,GOVERNMENT,COBRAM SECONDARY COLLEGE,COBRAM,39,22,0,84,35,20,87,98,1,87.0,81.0,28.0,0.5
111,2016,GOVERNMENT,COBURG HIGH SCHOOL,COBURG,22,0,0,31,0,0,66,100,1,0.0,0.0,29.0,3.4
112,2016,GOVERNMENT,COHUNA SECONDARY COLLEGE,COHUNA,30,14,0,58,20,8,85,100,0,94.0,100.0,28.0,2.1
113,2016,GOVERNMENT,COLAC SECONDARY COLLEGE,COLAC,41,13,0,102,27,20,47,89,0,69.0,65.0,24.0,1.5
115,2016,GOVERNMENT,COPPERFIELD COLLEGE,DELAHEY,71,31,0,404,344,159,92,99,3,88.0,85.0,29.0,3.2
116,2016,INDEPENDENT,CORNISH COLLEGE,BANGHOLME,27,11,0,42,21,0,100,100,1,100.0,0.0,29.0,3.6
117,2016,GOVERNMENT,CORRYONG COLLEGE,CORRYONG,25,7,0,32,36,8,77,100,3,75.0,54.0,32.0,11.0
118,2016,INDEPENDENT,COVENANT COLLEGE,BELL POST HILL,29,15,0,68,21,14,64,100,0,81.0,87.0,28.0,5.4
119,2016,GOVERNMENT,CRAIGIEBURN SECONDARY COLLEGE,CRAIGIEBURN,30,13,0,166,229,52,83,98,0,80.0,69.0,24.0,1.8
120,2016,GOVERNMENT,CRANBOURNE EAST SECONDARY COLLEGE,CRANBOURNE EAST,49,24,0,168,94,77,88,97,2,89.0,75.0,27.0,0.7
121,2016,GOVERNMENT,CRANBOURNE SECONDARY COLLEGE,CRANBOURNE,52,38,0,307,312,230,79,95,1,90.0,83.0,27.0,2.7
123,2016,CATHOLIC,DAMASCUS COLLEGE,MOUNT CLEAR,45,29,0,208,103,36,68,100,4,92.0,88.0,28.0,3.0
124,2016,GOVERNMENT,DANDENONG HIGH SCHOOL,DANDENONG,70,35,0,381,261,104,88,96,5,87.0,80.0,24.0,0.8
126,2016,GOVERNMENT,DAYLESFORD SECONDARY COLLEGE,DAYLESFORD,33,12,0,92,59,17,73,88,1,93.0,100.0,26.0,4.3
127,2016,CATHOLIC,DE LA SALLE COLLEGE,MALVERN,43,17,0,226,118,20,92,99,9,91.0,100.0,29.0,5.3
129,2016,GOVERNMENT,DIAMOND VALLEY COLLEGE,DIAMOND CREEK,46,29,0,163,136,34,89,99,1,100.0,100.0,28.0,2.7
132,2016,GOVERNMENT,DISTANCE EDUCATION CENTRE VICTORIA,THORNBURY,70,24,0,366,51,24,36,86,1,75.0,58.0,27.0,3.4
135,2016,GOVERNMENT,DONALD HIGH SCHOOL,DONALD,23,12,0,34,28,14,100,100,0,73.0,83.0,31.0,2.7
138,2016,GOVERNMENT,DROMANA SECONDARY COLLEGE,DROMANA,45,32,0,254,303,223,75,100,5,91.0,97.0,31.0,4.8
139,2016,GOVERNMENT,DROUIN SECONDARY COLLEGE,DROUIN,51,30,0,154,172,99,78,100,1,99.0,93.0,27.0,1.6
140,2016,GOVERNMENT,EAST DONCASTER SECONDARY COLLEGE,DONCASTER EAST,65,28,0,373,73,18,94,98,41,98.0,100.0,32.0,11.6
142,2016,INDEPENDENT,EAST PRESTON ISLAMIC COLLEGE,EAST PRESTON,15,11,0,27,51,9,100,100,1,98.0,87.0,28.0,2.9
143,2016,GOVERNMENT,ECHUCA COLLEGE,ECHUCA,38,15,0,139,190,25,55,99,1,90.0,91.0,25.0,1.7
144,2016,GOVERNMENT,EDENHOPE COLLEGE,EDENHOPE,25,10,0,36,36,19,100,100,0,83.0,76.0,28.0,4.6
145,2016,INDEPENDENT,EDINBURGH COLLEGE,LILYDALE,18,8,0,30,48,0,79,100,0,30.0,0.0,28.0,0.8
147,2016,GOVERNMENT,ELISABETH MURDOCH COLLEGE,LANGWARRIN,67,51,0,299,374,144,58,99,0,90.0,86.0,28.0,5.1
148,2016,INDEPENDENT,ELTHAM COLLEGE,RESEARCH,50,18,0,162,100,0,96,100,5,97.0,0.0,31.0,10.8
150,2016,GOVERNMENT,ELWOOD COLLEGE,ELWOOD,42,14,0,106,16,0,73,93,7,86.0,0.0,29.0,6.4
151,2016,GOVERNMENT,EMERALD SECONDARY COLLEGE,EMERALD,53,33,0,169,82,56,82,99,0,84.0,90.0,28.0,2.7
152,2016,CATHOLIC,EMMANUEL COLLEGE,ALTONA NORTH,61,33,0,383,173,65,89,100,8,93.0,98.0,28.0,3.1
153,2016,CATHOLIC,EMMANUEL COLLEGE,WARRNAMBOOL,44,26,0,288,126,36,72,97,8,89.0,93.0,29.0,4.7
154,2016,CATHOLIC,EMMAUS COLLEGE,VERMONT SOUTH,47,17,0,291,38,9,90,100,9,96.0,97.0,31.0,7.0
155,2016,GOVERNMENT,EPPING SECONDARY COLLEGE,EPPING,50,32,0,183,117,101,83,95,3,94.0,92.0,27.0,2.9
156,2016,GOVERNMENT,ESSENDON KEILOR COLLEGE,ESSENDON,49,21,0,250,150,26,89,94,12,63.0,79.0,23.0,1.9
157,2016,GOVERNMENT,EUROA SECONDARY COLLEGE,EUROA,37,30,0,104,122,28,71,100,1,93.0,84.0,25.0,5.5
158,2016,CATHOLIC,F.C.J. COLLEGE,BENALLA,26,13,0,68,56,11,58,97,0,91.0,90.0,29.0,4.0
159,2016,GOVERNMENT,FAIRHILLS HIGH SCHOOL,KNOXFIELD,66,40,0,213,234,107,73,96,1,84.0,73.0,26.0,2.3
162,2016,INDEPENDENT,FINTONA GIRLS SCHOOL,BALWYN,32,1,0,105,0,0,98,100,26,0.0,0.0,35.0,24.8
165,2016,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE,TYABB,44,24,0,127,62,14,82,99,3,98.0,100.0,31.0,8.4
166,2016,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,CARRUM DOWNS,42,25,0,117,37,16,94,98,2,99.0,96.0,32.0,6.4
167,2016,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - LATROBE CITY CAMP,TRARALGON,18,8,0,32,10,5,100,100,0,81.0,95.0,28.0,3.5
168,2016,GOVERNMENT,FOOTSCRAY CITY COLLEGE,FOOTSCRAY,42,10,0,180,98,57,78,98,6,79.0,89.0,28.0,5.3
